,0
ROC AUC,0.8820298985855115
PR AUC,0.4937200550036128
Specificity,0.8393484604847835
Sensitivity,0.7675339366515838
Accuracy,0.8357567185289958
Gmean,0.8026384167845021
Cost Capture,61.27971606255961
