"","measures","values","lower","upper"
"1","accuracy",0.798955773955774,NA,NA
"2","sensitivity",0.762899262899263,NA,NA
"3","specificity",0.800853485064011,NA,NA
"4","gmean",0.781646041022175,NA,NA
"5","auc",0.856308984501528,0.845992644229158,0.866625324773898
