"","measures","values","lower","upper"
"1","accuracy",0.809620826259196,0.805527603569623,0.81371404894877
"2","sensitivity",0.800226372382569,0.796057771401973,0.804394973363166
"3","specificity",0.810115271200072,0.806026119265901,0.814204423134242
"4","gmean",0.805155640037474,0.801026128748459,0.809285151326489
"5","auc",0.883202600130184,0.874344339542048,0.89206086071832
