"","measures","values","lower","upper"
"1","auc h2o",0.866971991370535,0.861902185513339,0.872041797227732
"2","auc pr",0.398270026001336,0.390961885567544,0.405578166435129
"3","accuracy",0.78859430295295,0.782498900139291,0.794689705766609
"4","sensitivity",0.775267538644471,0.769036277471605,0.781498799817337
"5","specificity",0.789277872651866,0.783189695442389,0.795366049861344
"6","gmean",0.782241339765009,0.776079997282702,0.788402682247317
"7","auc",0.867032655509879,0.854497055869232,0.879568255150527
"8","cost_capture",58.7393268846737,54.4819349411016,62.8839902933666
