"","measures","values","lower","upper"
"1","auc h2o",0.797632009953415,0.791634244939911,0.803629774966919
"2","auc pr",0.184977511518562,0.179181069278408,0.190773953758715
"3","accuracy",0.730985670360272,0.724365649025261,0.737605691695282
"4","sensitivity",0.72294887039239,0.716267723742206,0.729630017042574
"5","specificity",0.731397901927299,0.724781089771985,0.738014714082614
"6","gmean",0.727161114888375,0.720511665163784,0.733810564612967
"7","auc",0.797613734564171,0.782044041507691,0.813183427620651
"8","cost_capture",42.0853019469464,37.5731167512751,48.2712507557414
