"","measures","values","lower","upper"
"1","auc h2o",0.885309023778022,0.880552065741084,0.89006598181496
"2","auc pr",0.466818018136576,0.459370204726059,0.474265831547093
"3","accuracy",0.829668735858908,0.824056747034337,0.83528072468348
"4","sensitivity",0.7705112960761,0.764233786095809,0.776788806056391
"5","specificity",0.832703098316663,0.8271311601348,0.838275036498525
"6","gmean",0.801003834903776,0.795043688861912,0.80696398094564
"7","auc",0.88528871779002,0.873772447514281,0.896804988065758
"8","cost_capture",62.6241504570364,61.9019068434132,63.3463940706596
