"","measures","values","lower","upper"
"1","auc h2o",0.801741216717398,0.79578938595284,0.807693047481956
"2","auc pr",0.186574512111868,0.180758808091959,0.192390216131776
"3","accuracy",0.772756280095144,0.766500456888917,0.779012103301372
"4","sensitivity",0.682520808561237,0.675571640238445,0.689469976884028
"5","specificity",0.777384727982435,0.771174425840578,0.783595030124292
"6","gmean",0.728410085807252,0.721770178075923,0.735049993538581
"7","auc",0.801813955667392,0.786706531243864,0.816921380090919
"8","cost_capture",44.3908136342667,43.6490986150905,45.1325286534429
