"","measures","values","lower","upper"
"1","auc h2o",0.883416795778907,0.878625885145155,0.88820770641266
"2","auc pr",0.456708205954047,0.449271968822549,0.464144443085545
"3","accuracy",0.800661367987469,0.794697370880705,0.806625365094232
"4","sensitivity",0.80499405469679,0.799079289445416,0.810908819948163
"5","specificity",0.800439131495487,0.794472638997199,0.806405623993775
"6","gmean",0.802713362291004,0.796772543136929,0.808654181445079
"7","auc",0.883352940698671,0.871525611621713,0.895180269775629
"8","cost_capture",63.2630972345492,62.5434100906741,63.9827843784242
