"","measures","values","lower","upper"
"1","auc h2o",0.802335058085279,0.796389947198835,0.808280168971723
"2","auc pr",0.207580696370218,0.201526057345701,0.213635335394736
"3","accuracy",0.736381040784359,0.729803601165192,0.742958480403527
"4","sensitivity",0.712247324613555,0.705488948634507,0.719005700592604
"5","specificity",0.737618931446694,0.731051439850642,0.744186423042746
"6","gmean",0.724822123356633,0.718154981002552,0.731489265710713
"7","auc",0.802284039290381,0.787000271309948,0.817567807270813
"8","cost_capture",49.8680877706876,49.1216635160557,50.6145120253194
